Cases,Date
1,2020-02-26T00:00:00Z
1,2020-02-27T00:00:00Z
1,2020-02-28T00:00:00Z
2,2020-02-29T00:00:00Z
2,2020-03-01T00:00:00Z
2,2020-03-02T00:00:00Z
2,2020-03-03T00:00:00Z
4,2020-03-04T00:00:00Z
4,2020-03-05T00:00:00Z
13,2020-03-06T00:00:00Z
13,2020-03-07T00:00:00Z
20,2020-03-08T00:00:00Z
25,2020-03-09T00:00:00Z
31,2020-03-10T00:00:00Z
38,2020-03-11T00:00:00Z
52,2020-03-12T00:00:00Z
151,2020-03-13T00:00:00Z
151,2020-03-14T00:00:00Z
162,2020-03-15T00:00:00Z
200,2020-03-16T00:00:00Z
321,2020-03-17T00:00:00Z
372,2020-03-18T00:00:00Z
621,2020-03-19T00:00:00Z
793,2020-03-20T00:00:00Z
1021,2020-03-21T00:00:00Z
1546,2020-03-22T00:00:00Z
1924,2020-03-23T00:00:00Z
2247,2020-03-24T00:00:00Z
2554,2020-03-25T00:00:00Z
2985,2020-03-26T00:00:00Z
3417,2020-03-27T00:00:00Z
3904,2020-03-28T00:00:00Z
4256,2020-03-29T00:00:00Z
4579,2020-03-30T00:00:00Z
5717,2020-03-31T00:00:00Z
6836,2020-04-01T00:00:00Z
8044,2020-04-02T00:00:00Z
9056,2020-04-03T00:00:00Z
10360,2020-04-04T00:00:00Z
11130,2020-04-05T00:00:00Z
12161,2020-04-06T00:00:00Z
14034,2020-04-07T00:00:00Z
16170,2020-04-08T00:00:00Z
18092,2020-04-09T00:00:00Z
19638,2020-04-10T00:00:00Z
20727,2020-04-11T00:00:00Z
22192,2020-04-12T00:00:00Z
23430,2020-04-13T00:00:00Z
25262,2020-04-14T00:00:00Z
28320,2020-04-15T00:00:00Z
30425,2020-04-16T00:00:00Z
33682,2020-04-17T00:00:00Z
36658,2020-04-18T00:00:00Z
38654,2020-04-19T00:00:00Z
40743,2020-04-20T00:00:00Z
43079,2020-04-21T00:00:00Z
45757,2020-04-22T00:00:00Z
50036,2020-04-23T00:00:00Z
54043,2020-04-24T00:00:00Z
59324,2020-04-25T00:00:00Z
63100,2020-04-26T00:00:00Z
67446,2020-04-27T00:00:00Z
73235,2020-04-28T00:00:00Z
79685,2020-04-29T00:00:00Z
87187,2020-04-30T00:00:00Z
92202,2020-05-01T00:00:00Z
97100,2020-05-02T00:00:00Z
101826,2020-05-03T00:00:00Z
